name,latitude,longitude,subcategories/0,numberOfRooms,hotelClass,num_amenities,ceilhotelClass,energy_consumption,usable_area
Red Planet Bangkok Asoke,13.735791,100.56007,Hotel,130.0,3.0,25,3.0,2977.6623002487,4290.476998944412
The Berkeley Hotel Pratunam,13.750167,100.54279,Hotel,788.0,5.0,53,5.0,19818.267709980188,33039.911577066334
Novotel Bangkok Silom Road,13.723036,100.51848,Hotel,216.0,4.0,55,4.0,5422.208924770293,7260.545926247939
Grande Centre Point Sukhumvit 55,13.731668,100.58218,Hotel,442.0,5.0,50,5.0,10452.404601413069,17116.67142947545
Eastin Grand Hotel Sathorn,13.719151,100.52193,Hotel,390.0,5.0,63,5.0,8447.860110516012,15519.404054604927
Chatrium Hotel Riverside Bangkok,13.71062,100.51017,Hotel,320.0,5.0,124,5.0,7347.741887750488,11921.757650031665
Rembrandt Hotel Bangkok,13.732422,100.56283,Hotel,407.0,0.0,62,0.0,8583.599934504366,8060.124119127849
The Okura Prestige Bangkok,13.742734,100.547844,Hotel,240.0,5.0,82,5.0,6307.259163013168,9802.718988670273
Lancaster Bangkok,13.748716,100.56734,Hotel,231.0,5.0,140,5.0,6074.152025281873,8977.50107351952
Akara Hotel,13.75611,100.54131,Hotel,82.0,4.0,67,4.0,2294.9603063889663,3049.0848859534376
"Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok",13.7375,100.559296,Hotel,420.0,5.0,90,5.0,8951.666447233105,15570.957476697711
Centre Point Hotel Silom,13.719808,100.515274,Hotel,214.0,4.0,64,4.0,5697.725501587345,8355.5218687445
La Petite Salil Sukhumvit Thonglor 1,13.727382,100.578835,Hotel,122.0,4.0,80,4.0,3352.910518616947,4594.472932649117
Avani+ Riverside Bangkok Hotel,13.704895,100.49135,Hotel,248.0,4.5,65,5.0,5601.9088076686185,9517.898962258612
Grande Centre Point Terminal 21,13.737092,100.56041,Hotel,498.0,5.0,56,5.0,10709.117622528764,19921.54573708681
Bangkok Marriott Hotel Sukhumvit,13.723425,100.580444,Hotel,275.0,5.0,104,5.0,6318.348824317135,11101.976223516098
The Sukosol Hotel,13.757689,100.53616,Hotel,500.0,5.0,71,5.0,11117.16145374187,20754.334286008394
The Quarter Phromphong By UHG,13.737506,100.56647,Hotel,79.0,4.0,47,4.0,2036.4279561529468,2795.221852828495
Solaria Nishitetsu Hotel Bangkok,13.737016,100.56006,Hotel,263.0,4.0,12,4.0,5894.039274425943,9205.409727060214
The Park Nine Suvarnabhumi,13.722481,100.724,Hotel,120.0,4.0,56,4.0,2857.883344450282,4444.552776884781
The Quarter Ari by UHG,13.784577,100.54659,Hotel,180.0,4.0,50,4.0,4425.2223917193,6467.860123362994
La Petite Salil Sukhumvit 11,13.743214,100.5565,Hotel,84.0,4.0,70,4.0,2153.4851654939475,3016.7758727176038
Hotel Clover Asoke,13.734478,100.5611,Hotel,95.0,4.0,54,4.0,2314.4599418320504,3576.7070565796794
Banyan Tree Bangkok,13.723922,100.5396,Hotel,327.0,5.0,117,5.0,7813.441178970019,13782.606022224276
JC Kevin Sathorn Bangkok Hotel,13.716379,100.531586,Hotel,310.0,5.0,48,5.0,7166.572686098453,12570.826044821028
Grande Centre Point Hotel Ratchadamri,13.741611,100.54095,Hotel,497.0,5.0,71,5.0,12292.679597792867,19564.7818030696
Rambuttri Village Inn & Plaza,13.761519,100.4962,Hotel,150.0,2.0,43,2.0,3607.533996099487,4477.468355358232
The Cottage Suvarnabhumi,13.720968,100.7241,Hotel,104.0,3.0,51,3.0,2651.239169136095,3349.2837040313866
Riva Arun Bangkok,13.743736,100.49214,Bed and Breakfast,25.0,4.0,38,4.0,698.4849955244392,998.7129962305364
Eastin Grand Hotel Phayathai,13.756485,100.5329,Hotel,494.0,0.0,53,0.0,11655.475059556318,11481.523372636733
The Quarter Silom by UHG,13.728482,100.53036,Hotel,141.0,4.0,55,4.0,3251.7515733739338,5436.799550955939
Anantara Riverside Bangkok Resort,13.704306,100.4923,Hotel,376.0,5.0,107,5.0,8271.63789027958,15835.319315323295
Centara Grand at Central Plaza Ladprao Bangkok,13.817944,100.56001,Hotel,565.0,5.0,57,5.0,14312.006806819365,23182.577957707847
Arck Hotel,13.751325,100.53846,Hotel,77.0,0.0,0,0.0,1911.7683327337054,1664.9780596975731
Centre Point Hotel Chidlom,13.739051,100.54308,Hotel,200.0,4.0,41,4.0,5017.925054516317,7516.840119201399
Bangkok City Hotel,13.79014,100.542,Hotel,252.0,3.0,45,3.0,5661.8267842417645,8083.9431402352275
Siam Kempinski Hotel Bangkok,13.748258,100.53547,Hotel,397.0,0.0,99,0.0,8659.550026959596,9298.51216801172
Prince Palace Hotel,13.751,100.5026,Hotel,744.0,3.0,50,3.0,17687.844705945106,23430.975697909922
Solitaire Bangkok,13.744979,100.557175,Hotel,319.0,4.0,52,4.0,7368.82352181957,12880.266721014561
The Quarter Hualamphong By UHG,13.737516,100.51571,Hotel,150.0,4.0,43,4.0,3329.55749017341,5988.802666445125
Grand 5 Hotel & Plaza Sukhumvit Bangkok,13.741756,100.55406,Hotel,161.0,4.0,32,4.0,3790.037763845048,6111.7883269501945
Novotel Bangkok Platinum Pratunam,13.749713,100.54052,Hotel,288.0,4.0,91,4.0,6296.71428385093,11009.459141115673
Anantara Siam Bangkok Hotel,13.740948,100.54027,Hotel,354.0,5.0,83,5.0,9173.267226305648,13909.955574221338
Shama Lakeview Asoke Bangkok,13.729861,100.56138,Hotel,429.0,4.0,61,4.0,9488.229924279538,15290.268281832736
Ariyasomvilla,13.747884,100.5517,Hotel,24.0,4.0,54,4.0,846.1236490332382,812.1193659803495
ASAI Bangkok Chinatown,13.741491,100.51123,Hotel,224.0,2.0,57,2.0,5166.202346520916,6487.164759924909
Amari Watergate Bangkok,13.751057,100.54022,Hotel,564.0,5.0,65,5.0,13133.52479582659,23830.60865839157
Asia Hotel Bangkok,13.751436,100.53115,Hotel,600.0,3.0,44,3.0,12790.158064323476,21270.86240952373
137 Pillars Suites & Residences Bangkok,13.737492,100.57187,Hotel,213.0,5.0,66,5.0,5655.979482695105,8957.019993969237
Nana Hotel,13.74147,100.55293,Hotel,334.0,3.0,43,3.0,8229.94000995201,10007.16749745011
